댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
Ugyqo2ZKNDFVvy8yeB54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-20T02:14:17.497262+00:00,0,,,B5eXH-Q355o,"{""text"":""인지님노래""},{""text"":""5:30"",""videoLink"":{""externalVideoId"":""B5eXH-Q355o"",""startTimeSeconds"":330}}",
UgyKvceM_5CQVMww7fd4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-08-15T11:08:56.668274+00:00,0,,Ugy_oPZLFeCJQJ2o9sN4AaABCQ,,"{""text"":""몬스터헌터월드""}",
Ugy5Xmye0ly9xolHfRt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-06-10T07:43:37.643399+00:00,0,,,tjYt8xhmvYU,"{""text"":""psu0803@""},{""text"":""naver.com"",""link"":{""linkUrl"":""http://naver.com/""}},{""text"":"" gta5""}",
Ugx6OEdlfgLqjtoueK54AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-05-05T08:10:22.065801+00:00,0,,,RBvc8GjBhW8,"{""text"":""psu0803@""},{""text"":""naver.com"",""link"":{""linkUrl"":""http://naver.com/""}}",
Ugx62PYuYtmwyP7oBbt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2018-04-08T07:39:56.669572+00:00,0,,,jI_RehR1F_Q,"{""text"":""마크에이지!!!!""}",
Ugxy2bzWAFSz_Oj4bTl4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2017-11-13T11:06:51.239732+00:00,0,,,DHROF85Surg,"{""text"":""2일후면 1년이네요""}",





