댓글 ID,채널 ID,댓글 생성 타임스탬프,가격,상위 댓글 ID,게시물 ID,동영상 ID,댓글 텍스트,최상위 댓글 ID
UgxASekzKMZZSrbiXQ94AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-11T15:43:47.38842+00:00,0,,,9TCj2IJQo2M,"{""text"":""tmi 샤샤가 구한 집에 있던 거인은 코니의 아버지이다""}",
Ugylnu4ZSK_LbtBZTYJ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-11T14:36:34.291014+00:00,0,,,r4tVeQCPFp4,"{""text"":""원작이랑 초대형거인 발이다른디?""}",
UgwXDReEx4jWm32V8ld4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-11T14:02:30.493981+00:00,0,,,FHZpaJMOqM0,"{""text"":""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ""},{""text"":""\n""},{""text"":""보라""}",
UgxDu5gZPBAIHBl_Hbt4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-04-11T02:12:47.67977+00:00,0,,,hY9n8PrjRcI,"{""text"":""롤 탈은 지능순""}",
UgwQQUBeaV3cPRth5WV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-29T13:15:03.720606+00:00,0,,,OBfK8nJ-j6Y,"{""text"":""안이 카드돈진거 스페이드 6이었는데 왜 다시 주우니까 컬러냐고...""}",
UgyrzV38J25SnOnmGHJ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-25T09:32:21.781219+00:00,0,,,owhXV4dTDTg,"{""text"":""위즈원 감사합니다""}",
UgwYKoBzUNfFyZKvH_Z4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-16T07:59:10.008993+00:00,0,,,lXjP1oXnCwk,"{""text"":""신고안당하는게 다행이다""}",
UgwBKcRFGlNHOwqunlV4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-13T17:27:26.551637+00:00,0,,,yZENvxj00Hs,"{""text"":""11:56"",""videoLink"":{""externalVideoId"":""yZENvxj00Hs"",""startTimeSeconds"":716}},{""text"":"" 저 맨끝에 배럴같은거 오름요""}",
Ugzlur9fonbgGU44jBZ4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-05T14:48:28.863077+00:00,0,,,iXpVpEmmoKM,"{""text"":""제발 음원스트리밍 사이트에 올려주세요 있다면 링크좀""}",
UgxSP4S_SK9mgECrssp4AaABAg,UCuGz8hZspvz_sC0P4DLUL8Q,2021-03-04T17:53:43.433026+00:00,0,,,d7pfFD4DqKw,"{""text"":""와 둠 닉좀봐 위즈원이네..""}",
